EPOCH                             DENSITY   TEMPERATURE        VR_RTN        VT_RTN        VN_RTN
dd-mm-yyyy hh:mm:ss.mil.mic         cm^-3            eV          km/s          km/s          km/s
06-09-2022 00:05:25.550.724       2.59016       48.1233       497.092      -23.3551      -14.5931
06-09-2022 00:05:29.550.731       2.12596       20.4775       512.678      -35.6393      -1.86008
06-09-2022 00:05:33.550.738       3.44439       90.7846       415.215       19.2392      -33.6769
06-09-2022 00:05:37.550.745       2.56701       38.5035       511.662      -30.2385      -4.62386
06-09-2022 00:05:41.550.752       2.37275       30.2120       520.533      -41.0541      -2.46506
06-09-2022 00:05:45.550.759       2.11671       26.6265       503.842      -31.7806      -3.32784
06-09-2022 00:05:49.550.766       2.77211       65.8019       469.357      -4.73688      -19.3465
06-09-2022 00:05:53.550.773       2.03383       27.0791       499.180      -33.1386      -3.30833
06-09-2022 00:05:57.550.780       2.46073       34.1499       517.978      -26.1633      -14.7510
06-09-2022 00:06:01.550.787       2.96145       67.5260       470.155      -2.72509      -9.23848
06-09-2022 00:06:05.550.794       2.75193       48.7353       501.878      -26.0009      -16.8403
06-09-2022 00:06:09.550.801       3.04768       77.3419       481.013      -7.48805      -21.1423
06-09-2022 00:06:13.550.807       2.40505       31.4024       525.183      -23.4538      -9.01598
06-09-2022 00:06:17.550.814       2.26373       40.5199       506.961      -27.8077      -7.58149
06-09-2022 00:06:21.550.821       2.53993       37.2486       521.989      -21.3234      -12.3057
06-09-2022 00:06:25.550.828       2.64112       39.3651       524.994      -15.4241      -15.6737
06-09-2022 00:06:29.550.835       2.52901       40.7946       521.065      -25.8852      -6.08145
06-09-2022 00:06:33.550.842       6.96291       133.606       316.745       1.65451       100.839
06-09-2022 00:06:37.550.849       2.48854       42.2147       519.596      -21.8123     -0.775050
06-09-2022 00:06:41.550.856       2.76975       61.2836       493.337      -18.3900      -16.3794
06-09-2022 00:06:45.550.863       2.55505       42.2550       533.252      -23.9113      -14.0991
06-09-2022 00:06:49.550.870       2.47464       47.0238       517.935      -26.3110      -13.4146
06-09-2022 00:06:53.550.877       2.64391       39.2597       520.273      -17.8570      -5.35573
06-09-2022 00:06:57.550.884       2.35844       33.6994       524.347      -26.3677      -8.53358
06-09-2022 00:07:01.550.891       2.48190       33.0632       523.467      -24.8835      -3.99371
